,author_id,tweet_id,text,created_at
84,44196397,1519013984879394818,@dogeofficialceo Can someone please give the NPCs a bigger dialogue tree!?,2022-04-26 18:02:10+00:00
85,44196397,1519006816084144132,"RT @NASA: The four astronauts of #Crew4 are set to launch to our orbiting laboratory on April 27 at 3:52am ET (7:52 UTC).

Join us RIGHT NO…",2022-04-26 17:33:41+00:00
86,44196397,1519005892850720768,RT @SpaceX: Weather is 90% favorable for tomorrow’s Falcon 9 launch of Dragon and the Crew-4 astronauts. Webcast will go live at 12:00 a.m.…,2022-04-26 17:30:01+00:00
87,44196397,1518677066325053441,🚀💫♥️ Yesss!!! ♥️💫🚀 https://t.co/0T9HzUHuh6,2022-04-25 19:43:22+00:00
88,44196397,1518623997054918657,"I hope that even my worst critics remain on Twitter, because that is what free speech means",2022-04-25 16:12:30+00:00
89,44196397,1518620915793289216,RT @boringcompany: Hyperloop testing at full-scale begins later this year.,2022-04-25 16:00:15+00:00
90,44196397,1518614732839735304,And be my love in the rain,2022-04-25 15:35:41+00:00
91,44196397,1518586070476238848,"@TechEmails The Instagram curse: 

Water everywhere, yet always thirsty.",2022-04-25 13:41:47+00:00
92,44196397,1518584068555919360,@PPathole @Tesla @SpaceX @neuralink @boringcompany I do love humanity,2022-04-25 13:33:50+00:00
93,44196397,1518569260523659266,"@PPathole @WholeMarsBlog The San Francisco office of the SEC were shameless puppets of Wall St shortseller sharks, while doing nothing to protect actual shareholders. That is why I lost all respect for them.",2022-04-25 12:35:00+00:00
94,44196397,1518566089264963586,"@WholeMarsBlog The head of Saudi PIF committed unequivocally to take Tesla private with me, as witnessed by the Tesla CFO and several others. That is why I said funding was secured.",2022-04-25 12:22:23+00:00
95,44196397,1518441666776125440,@Teslaconomics Yup,2022-04-25 04:07:59+00:00
96,44196397,1518394543800045568,RT @SpaceX: Watch Dragon and the Ax-1 astronauts depart the @space_station and return to Earth → https://t.co/N3MHSxCS0k  https://t.co/JJxg…,2022-04-25 01:00:44+00:00
97,44196397,1518359943967121408,"@JohnnaCrider1 @stats_feed Underground tunnels are immune to surface weather conditions (subways are a good example), so it wouldn’t matter to Hyperloop if a hurricane was raging on the surface. You wouldn’t even notice.",2022-04-24 22:43:15+00:00
98,44196397,1518358595682848780,"@JohnnaCrider1 @stats_feed In the coming years, Boring Co will attempt to build a working Hyperloop. 

From a known physics standpoint, this is the fastest possible way of getting from one city center to another for distances less than ~2000 miles. Starship is faster for longer journeys.",2022-04-24 22:37:53+00:00
99,44196397,1518331787998638082,"@WholeMarsBlog Next beta release has many improvements, especially for complex left turns &amp; heavy traffic",2022-04-24 20:51:22+00:00
100,44196397,1518331451300888578,@SawyerMerritt Strange how these things are bucketed. I think of the whole company as being R&amp;D.,2022-04-24 20:50:01+00:00
101,44196397,1518265399976116227,"@BillyM2k First one definitely, second is nice to have and third isn’t needed imo",2022-04-24 16:27:34+00:00
102,44196397,1518263718240563200,@stats_feed Tunnels anyone?,2022-04-24 16:20:53+00:00
103,44196397,1518240703033356288,@TeslaJedi @Teslarati @ResidentSponge Drug naming conventions are so ridiculous! Does someone just literally have a random syllable generator!?,2022-04-24 14:49:25+00:00
104,44196397,1518237929696641024,@ICannot_Enough @MoodysInvSvc @SPGlobalRatings @MmeAlexandraS 🤣,2022-04-24 14:38:24+00:00
105,44196397,1518234561150427141,(from making fun of Gates for shorting Tesla while claiming to support climate change action),2022-04-24 14:25:01+00:00
106,44196397,1518232913837494272,@PPathole @JamesWLaw1 @Teslarati @ResidentSponge Getting there,2022-04-24 14:18:28+00:00
107,44196397,1518226433730134018,"@JamesWLaw1 @Teslarati @ResidentSponge Definitely. Might be less than 5 years away, as current version Neuralinks are semi-generalized neural read/write devices with ~1000 electrodes and tinnitus  probably needs &lt;&lt;1000.

Future gen Neuralinks will increase electrode count by many orders of magnitude.",2022-04-24 13:52:43+00:00
108,44196397,1518222204097413122,"@Teslarati @ResidentSponge In the meantime, semaglutide (aka Ozempic/Rybelsus) appears to be effective in appetite control with minor side effects",2022-04-24 13:35:55+00:00
109,44196397,1518220907864637441,@TeslaOwnersEBay @Teslarati @ResidentSponge @neuralink Yes,2022-04-24 13:30:46+00:00
110,44196397,1518220297803022336,"@24_7TeslaNews @Teslarati @ResidentSponge Current generation Neuralinks can help to some degree, but an advanced case of Alzheimers often involves macro degeneration of the brain. 

However, Neuralinks should theoretically be able restore almost any functionality lost due *localized* brain damage from stroke or injury.",2022-04-24 13:28:20+00:00
111,44196397,1518218293680783360,@karpathy !,2022-04-24 13:20:23+00:00
112,44196397,1518218193843728385,"@Teslarati @ResidentSponge If you’ve engineered or manufactured smart watches or phones, please join Neuralink! Your skills are directly applicable.",2022-04-24 13:19:59+00:00
113,44196397,1518217571677446144,"@Teslarati @ResidentSponge It is an electronics/mechanical/software engineering problem for the Neuralink device that is similar in complexity level to smart watches (which are not easy!), plus the surgical robot, which is comparable to state-of-the art CNC machines.

No need for AI/ NN/ML quite yet.",2022-04-24 13:17:30+00:00
114,44196397,1518215247630327809,"@Teslarati @ResidentSponge Certainly physically possible. 

We’re working on bridging broken links between brain &amp; body.

Neuralinks in motor &amp; sensory cortex bridging past weak/broken links in neck/spine to Neuralinks in spinal cord should theoretically be able to restore full body functionality.",2022-04-24 13:08:16+00:00
115,44196397,1518194746052726786,Moving on …,2022-04-24 11:46:48+00:00
116,44196397,1518046791702298625,"@BillyM2k Also, epic printer scene in Office Space",2022-04-24 01:58:53+00:00
117,44196397,1518046401632129024,@BillyM2k https://t.co/NhtkBDE5k8,2022-04-24 01:57:20+00:00
118,44196397,1517974305522475010,@jack Your new title at Block is 🔥🔥,2022-04-23 21:10:51+00:00
119,44196397,1517936571349090304,@PPathole Yeah,2022-04-23 18:40:55+00:00
120,44196397,1517935052096778241,@wintonARK ESG ratings make no sense,2022-04-23 18:34:52+00:00
121,44196397,1517751837369188352,"@nichegamer Elden Ring is incredible, but why are extremely gory death/murder scenes ok, but panties get you banned!?",2022-04-23 06:26:51+00:00
122,44196397,1517747980681592832,@pmarca 🤔,2022-04-23 06:11:31+00:00
123,44196397,1517747629291188224,@BillyM2k 🤣 also why are there still printers?,2022-04-23 06:10:07+00:00
124,44196397,1517720893346271232,@Teslarati Tesla China is doing incredible work,2022-04-23 04:23:53+00:00
125,44196397,1517716718382166016,shadow ban council reviewing tweet … https://t.co/cawjtwc7CW,2022-04-23 04:07:18+00:00
126,44196397,1517707521343082496,in case u need to lose a boner fast https://t.co/fcHiaXKCJi,2022-04-23 03:30:45+00:00
127,44196397,1517702987359133696,"@WholeMarsBlog Yeah, but I didn’t leak it to NYT. They must have got it through friends of friends. 

I heard from multiple people at TED that Gates still had half billion short against Tesla, which is why I asked him, so it’s not exactly top secret.",2022-04-23 03:12:44+00:00
